row_number,geonames_admin1_code,geonames_admin1_ascii_name
17747,KR.12,Incheon
17948,NZ.E8,Bay of Plenty
17966,UY.10,Montevideo
18007,TR.60,Tokat
18051,CH.FR,Fribourg
18120,VE.19,Sucre
18121,CR.02,Cartago
18156,RO.18,Galati
18405,TR.59,Tekirdag
18488,BO.09,Tarija
18554,RU.77,Tver' Oblast
18563,IN.38,Jharkhand
18578,CR.01,Alajuela
18585,CH.LU,Lucerne
18586,NG.16,Ogun
18602,NG.45,Abia
18626,MU.17,Plaines Wilhems
18647,JP.17,Kagawa
18708,AR.06,Corrientes
18728,ID.22,Southeast Sulawesi
19091,CZ.87,Plzensky kraj
19308,NG.28,Imo
19317,CL.18,Nuble
19334,CZ.82,Kralovehradecky kraj
19370,GA.02,Haut-Ogooue
19379,SK.08,Zilinsky kraj
19385,CL.14,Los Lagos Region
19421,GE.04,Ajaria
19559,GF.GF,Guyane
19573,EC.06,Chimborazo
20139,RU.29,Kemerovo Oblast
20152,TR.31,Hatay
20226,PG.14,Morobe
20322,RU.49,Murmansk
20353,JP.30,Oita
20438,TW.02,Takao
20686,EG.09,Monufia
20693,US.NV,Nevada
20694,TH.46,Chon Buri
20772,TZ.12,Mwanza
20932,DZ.36,Ain Temouchent
21043,TR.26,Eskisehir
21070,UA.04,Dnipropetrovsk
21150,HR.15,Split-Dalmatia
21160,NG.30,Kwara
21203,SD.29,Khartoum
21208,CA.09,Prince Edward Island
21270,CL.04,Araucania
21280,BR.31,Tocantins
21368,HR.12,Primorsko-Goranska
21524,AM.01,Aragatsotn
21571,NI.10,Managua
21610,NG.54,Ekiti
21737,CN.14,Tibet
21947,NG.25,Anambra
21969,UA.08,Kherson
22017,TN.16,Al Munastir
22292,RU.24,Kalmykiya Republic
22617,RU.57,Penza
22690,TM.S,Ashgabat
22851,MX.27,Tabasco
23123,LK.34,Southern
23378,EG.03,Beheira
23480,EC.02,Azuay
23493,RU.46,Mordoviya Republic
23537,IN.21,Odisha
23653,CO.24,Risaralda
23860,PT.18,Santarem
23884,MQ.MQ,Martinique
23897,IN.34,Bihar
24146,KH.22,Phnom Penh
24173,BY.07,Vitebsk
24410,MZ.11,Maputo City
24451,RU.45,Mariy-El Republic
24605,DZ.20,Blida
24904,BG.50,Pleven
25139,IR.10,Ilam Province
25228,RW.12,Kigali
25250,ID.28,Maluku
25343,PE.04,Arequipa
25368,TR.43,Kuetahya
25421,CA.12,Yukon
25576,CY.05,Limassol
25685,SE.09,Kalmar
25986,JP.16,Iwate
26014,ID.31,North Sulawesi
26035,HU.17,Somogy
26194,TR.83,Gaziantep
26289,EE.05,Jogevamaa
26330,HK.NST,Sha Tin
26639,RS.VO,Vojvodina
26685,MY.13,Terengganu
26813,JO.02,Balqa
26957,IN.29,Sikkim
27097,UA.14,Luhansk
27222,ZA.09,Limpopo
27478,PH.06,Western Visayas
27599,RU.21,Ivanovo
27604,RU.55,Orenburg Oblast
27609,MX.32,Zacatecas
27794,LY.77,Tripoli
27921,IT.02,Basilicate
28342,ER.05,Maekel
28463,KE.39,Nakuru
28529,MX.16,Michoacan
28693,JP.06,Fukui
28828,DZ.12,Setif
28930,CH.SO,Solothurn
28987,CO.33,Cundinamarca
29110,MX.04,Campeche
29215,HT.11,Ouest
29293,CN.31,Hainan
29467,BH.17,Southern Governorate
29608,ML.01,Bamako
29785,GT.07,Guatemala
30485,IR.37,Golestan
30585,IR.16,Kordestan
30795,HU.04,Borsod-Abauj-Zemplen
30853,EG.24,Sohag
30914,RU.30,Khabarovsk
30937,DZ.04,Constantine
31104,UZ.10,Samarqand
31269,SA.20,Al Jawf
31327,RU.76,Tula
31553,RU.33,Kirov
31644,RO.17,Dolj
31910,AT.03,Lower Austria
31972,VE.15,Miranda
32063,RU.59,Primorskiy (Maritime) Kray
32352,SE.08,Joenkoeping
32654,CZ.83,Liberecky kraj
32929,HR.10,Osjecko-Baranjska
32991,HR.19,Zadarska
33065,TH.29,Surin
33087,TR.64,Usak
33273,UA.13,Kyiv
33277,IR.05,Kohgiluyeh and Boyer-Ahmad
33915,SZ.03,Manzini
34133,RU.10,Bryansk Oblast
34461,NG.29,Kano
34753,PH.03,Central Luzon
34997,RU.88,Jaroslavl
35170,PT.09,Faro
35288,SY.13,Dimashq
35303,CM.05,Littoral
35477,MX.13,Hidalgo
35590,TD.15,Chari-Baguirmi
35667,BN.02,Brunei-Muara District
36007,ZA.10,North-West
36183,RU.06,Arkhangelskaya
36560,KZ.15,East Kazakhstan
36963,DZ.03,Batna
37104,NO.08,More og Romsdal
37367,PT.06,Castelo Branco
37414,BR.24,Rondonia
37435,DZ.38,Bechar
37646,BR.20,Piaui
37757,RU.68,North Ossetia
37901,MK.E2,Ohrid
37930,IR.01,West Azerbaijan
38253,HU.09,Gyor-Moson-Sopron
38333,NG.11,FCT
38409,PE.07,Callao
38825,RU.07,Astrakhan
38999,UA.09,Khmelnytskyi
39052,EC.10,Guayas
39144,TN.29,Qabis
39305,JP.33,Saga
39882,PT.19,District of Setubal
40507,TZ.03,Dodoma
40509,IR.09,Hamadan
40591,RO.27,Mures
40841,IR.34,Markazi
40883,RU.38,Krasnodarskiy
40976,MX.20,Oaxaca
41160,ZW.05,Mashonaland West
41220,EG.21,Kafr el-Sheikh
