"year";"wGini_Asia_in_internal";"wGini_Asia_out_internal";"wGini_Asia_in_international";"wGini_Asia_out_international";"wGini_Asia_in_both";"wGini_Asia_out_both";"wGini_Africa_in_internal";"wGini_Africa_out_internal";"wGini_Africa_in_international";"wGini_Africa_out_international";"wGini_Africa_in_both";"wGini_Africa_out_both";"wGini_Europe_in_internal";"wGini_Europe_out_internal";"wGini_Europe_in_international";"wGini_Europe_out_international";"wGini_Europe_in_both";"wGini_Europe_out_both";"wGini_NorthAmerica_in_internal";"wGini_NorthAmerica_out_internal";"wGini_NorthAmerica_in_international";"wGini_NorthAmerica_out_international";"wGini_NorthAmerica_in_both";"wGini_NorthAmerica_out_both";"wGini_SouthAmerica_in_internal";"wGini_SouthAmerica_out_internal";"wGini_SouthAmerica_in_international";"wGini_SouthAmerica_out_international";"wGini_SouthAmerica_in_both";"wGini_SouthAmerica_out_both"
"11";2008;0.298134696336401;0.252868546293833;0.425965970430834;0.389392407315475;0.249948875594839;0.220185714975339;0.52648148278083;0.489561893146775;0.313069608715372;0.319569248026837;0.253623498930434;0.237797680896427;0.342420008637016;0.33809697762711;0.266074585270731;0.222066616291948;0.204732384134657;0.198658604797413;0.15873096261442;0.161994713990661;0.188698783296374;0.185674760934384;0.0866219600658527;0.0916909260896332;0.380649993132093;0.307526585269483;0.460397929815252;0.384922715661059;0.300972885919883;0.21519073413921
"12";2009;0.287075648167556;0.24005690753549;0.420219373387137;0.383589358116751;0.245434396852378;0.215212943916142;0.507134100632348;0.458678881393458;0.305120634609036;0.333485042106498;0.240969833189988;0.240852108154858;0.351332856937774;0.330232138691579;0.26086145010637;0.231230226760638;0.211842987800216;0.198487202001283;0.160606906964884;0.157433526485085;0.172210584113853;0.175426667553396;0.0927568166907823;0.0828528625790565;0.374849975385452;0.286759218393583;0.421628095492939;0.373606459422621;0.283823760290442;0.187679672102998
"13";2010;0.299949487635751;0.244599934761866;0.424641416328663;0.371864930322227;0.250515319576009;0.212945038435947;0.525330442357908;0.462846621724372;0.30517042379534;0.34753442283609;0.26073736491577;0.258310697924312;0.340312841590635;0.325492890263222;0.268269308376478;0.233920062469016;0.20905109848165;0.190188145258677;0.16118004165669;0.158476390600559;0.182611171629747;0.17869467771139;0.0926752446622926;0.0826371127567287;0.368152440706564;0.261430231813684;0.4583661451344;0.371897144650494;0.268628829358067;0.164057412669966
"14";2011;0.288938880650826;0.239745992943902;0.41701916328627;0.368212969463616;0.240119455923541;0.206373464717305;0.501938998354984;0.44031873582563;0.314359701305263;0.326747825713583;0.25704598576133;0.233942864623731;0.347575817082455;0.33249651996554;0.260984925345652;0.223330505055491;0.210205936500822;0.184037365382702;0.165439952826256;0.163266617293992;0.180012458370375;0.185366925154662;0.0907103576611293;0.0816718768258716;0.357144665890108;0.271991758653811;0.414640042725357;0.46508512987165;0.26334126011688;0.190968428526015
"15";2012;0.284152973691284;0.234145731705059;0.416124409174167;0.389558626525575;0.243949346293727;0.212625928849541;0.503183484234402;0.452747337634106;0.305956922236678;0.342212566474834;0.276140533257905;0.255667648586972;0.342129836178747;0.330196923021614;0.264231732335696;0.221351964426679;0.204783619947232;0.178785820101146;0.170837485274212;0.165857510873965;0.177959644789768;0.192467063496024;0.0924296511085755;0.0871297084222169;0.363521919414167;0.24638678331186;0.423242737490179;0.466364435365169;0.26366197406944;0.171135024499091
"16";2013;0.288414464799594;0.246566796537395;0.422847844692252;0.402365620446839;0.247553797496562;0.228091397011252;0.53215518646889;0.446369860065453;0.297829762196931;0.327088451270647;0.277635900847516;0.261804385253566;0.338261348261598;0.327393116114603;0.268147637272073;0.232525296476019;0.203533705147115;0.182884564802249;0.168419483638604;0.165111715691761;0.176925686323598;0.191045877853478;0.0911628967770812;0.0875879434909388;0.334966999614538;0.242285679945281;0.457660869549123;0.464180193439717;0.250257878231566;0.171151827610026
"17";2014;0.286498344679392;0.25056025779413;0.450657387891332;0.416442039325515;0.256417459864694;0.236844275102943;0.477767051010175;0.401241279122639;0.291707694859292;0.344881610098444;0.252757665142093;0.248697740809028;0.331514634551897;0.321949202718636;0.27634631171374;0.222794848053361;0.204213044070467;0.182051118776688;0.162274770690021;0.168632432262942;0.172123924517044;0.193294640827815;0.0873023436637333;0.0892930937155797;0.328318795334429;0.259857924532185;0.476588505562982;0.420060060875421;0.241623022779089;0.188306937189235
"18";2015;0.279465213069178;0.242666146023396;0.437315024249112;0.430042722170843;0.246174193032602;0.230411534715157;0.469381726728683;0.43488393404598;0.301396683688248;0.324789014479126;0.260792897187038;0.264818965165524;0.331899441790329;0.327257758388944;0.288402341581662;0.231141200150022;0.209548866947386;0.195173685783858;0.156918440416702;0.167072853927787;0.172597882249843;0.199605398744113;0.0871988139880987;0.0863860868543288;0.332318573393581;0.300227072691876;0.457802086443719;0.401532020086831;0.239757236179287;0.212159266901302
"19";2016;0.260264042391627;0.224946878135956;0.42998877844055;0.427896907151994;0.22795326698347;0.213476390859355;0.454634482931593;0.383294870002343;0.319417483860881;0.311418125232258;0.270459382687521;0.245649589569466;0.334529039342249;0.324978029406525;0.288687825561749;0.224281964693079;0.207187127901964;0.191669420900372;0.155880082508119;0.172811849722437;0.164725381968173;0.20376990029855;0.0864522762798028;0.0861690659414598;0.343263478306926;0.285970394195231;0.456691326875434;0.360263886746287;0.243637736093677;0.18889084307977
"20";2017;0.25588645939916;0.222550837861577;0.41763974282408;0.429981282284405;0.219428668858931;0.212233864322352;0.424475923485737;0.377348160623207;0.323441101495329;0.293446309699636;0.256278779051988;0.223459956556369;0.330794924062159;0.330595945509553;0.287881564272606;0.232795560596012;0.201560954995947;0.192833855383773;0.162016503193132;0.170088352787756;0.16667160754907;0.218424865058639;0.0933810307573954;0.0908896974233078;0.352665828593277;0.293391587518656;0.449741348934053;0.350206802271689;0.255059291772022;0.188176280182056
