"region_iso";"country";"continent";"income";"number_of_scholars";"Kendall_internal_continent_in";"Kendall_internal_continent_out";"Kendall_internal_vs_international_continent_in";"Kendall_internal_vs_international_continent_out";"Kendall_internal_vs_international_income_in";"Kendall_internal_vs_international_income_out";"Kendall_international_continent_in";"Kendall_international_continent_out";"SE_Kendall_internal_continent_in.x";"SE_Kendall_internal_continent_in.y";"SE_Kendall_internal_continent_out";"SE_Kendall_internal_income_in";"SE_Kendall_international_continent_in";"SE_Kendall_international_continent_out.x";"SE_Kendall_international_continent_out.y";"SE_Kendall_international_income_out"
"19";"AR.17";"AR";"South America";"Upper-middle";105.6;0.361722588539124;0.0689677000045776;0.310450673103333;0.125699952244759;0.310450673103333;0.125699952244759;-0.0865180939435959;-0.142995342612267;0.0267496683807168;0.0281905590848013;0.0266347675802394;0.0281905590848013;0.0272904481217912;0.0278483553418171;0.0277444178905867;0.0277444178905867
"20";"AR.18";"AR";"South America";"Upper-middle";110.2;-0.0947368368506432;0.0947368368506432;-0.0477468706667423;-0.231578931212425;-0.0477468706667423;-0.231578931212425;-0.252631545066833;-0.132630199193954;0.0263157852468733;0.0266347675802394;0.0263157852468733;0.0266347675802394;0.0263157852468733;0.0266347675802394;0.0263157852468733;0.0263157852468733
"21";"AR.19";"AR";"South America";"Upper-middle";230.8;0.399999976158142;0.190478846430779;0.118286401033401;-0.106388993561268;0.118286401033401;-0.106388993561268;-0.0425556004047394;-0.0962690711021423;0.0263157852468733;0.0271564632042483;0.026539752024359;0.0271564632042483;0.0267496683807168;0.0269260093453922;0.0267496683807168;0.0267496683807168
"22";"AR.20";"AR";"South America";"Upper-middle";19.2;-0.0312195271253586;NA;NA;NA;NA;NA;0.260494023561478;NA;0.0306042885274653;NA;NA;NA;0.0320175415965489;NA;NA;NA
"23";"AR.21";"AR";"South America";"Upper-middle";920.5;0.147368416190147;0.368421018123627;-0.24210524559021;-0.178947359323502;-0.24210524559021;-0.178947359323502;-0.357894718647003;-0.557894706726074;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"24";"AR.22";"AR";"South America";"Upper-middle";27;0.210866317152977;NA;NA;NA;NA;NA;0.231024503707886;NA;0.0299455510612892;NA;NA;NA;0.0306042885274653;NA;NA;NA
"25";"AR.24";"AR";"South America";"Upper-middle";354.5;0.147368416190147;0.210526302456856;0.0210526306182146;-0.0842105224728584;0.0210526306182146;-0.0842105224728584;-0.326315760612488;-0.389473646879196;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"26";"AT.02";"AT";"Europe";"High";140.2;-0.221052616834641;-0.147368416190147;0.0315789431333542;-0.221052616834641;0.0315789431333542;-0.221052616834641;-0.263157874345779;0.189473673701286;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"27";"AT.03";"AT";"Europe";"High";235.9;0.0631578862667084;-0.157894730567932;0.0842105224728584;0.336842089891434;0.0842105224728584;0.336842089891434;0.136842086911201;-0.421052604913712;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"28";"AT.04";"AT";"Europe";"High";133.5;-0.347368389368057;-0.184697210788727;0.0795758739113808;0;0.0795758739113808;0;-0.231578931212425;0.338629066944122;0.0263157852468733;0.0266523254440892;0.0264271780814859;0.0266523254440892;0.0263157852468733;0.026539752024359;0.0263157852468733;0.0263157852468733
"29";"AT.05";"AT";"Europe";"High";607.6;-0.305263131856918;-0.515789449214935;-0.0421052612364292;0.157894730567932;-0.0421052612364292;0.157894730567932;0.199999988079071;-0.0631578862667084;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"30";"AT.06";"AT";"Europe";"High";1940.8;-0.72631573677063;-0.473684161901474;0.294736832380295;0.0947368368506432;0.294736832380295;0.0947368368506432;-0.0526315756142139;-0.126315772533417;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"31";"AT.07";"AT";"Europe";"High";1036.4;-0.210526302456856;-0.421052604913712;0.547368347644806;0.157894730567932;0.547368347644806;0.157894730567932;0.147368416190147;-0.136842086911201;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"32";"AT.08";"AT";"Europe";"High";35.4;-0.121372453868389;-0.206903100013733;0.027718810364604;0.131926581263542;0.027718810364604;0.131926581263542;-0.147368416190147;0.0219992846250534;0.0264271780814859;0.0281905590848013;0.0266347675802394;0.0281905590848013;0.0263157852468733;0.0278483553418171;0.0264271780814859;0.0264271780814859
"33";"AT.09";"AT";"Europe";"High";7973.9;-0.568421006202698;-0.199999988079071;0.221052616834641;-0.210526302456856;0.221052616834641;-0.210526302456856;0.24210524559021;0.0526315756142139;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"34";"AU.01";"AU";"Oceania";"High";8389.5;-0.442105233669281;0.336842089891434;-0.105263151228428;0.599999964237213;-0.105263151228428;0.599999964237213;-0.378947347402573;-0.684210479259491;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"35";"AU.02";"AU";"Oceania";"High";11295.5;-0.252631545066833;-0.610526263713837;0.736842036247253;0.631578922271729;0.736842036247253;0.631578922271729;-0.136842086911201;-0.642105221748352;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"36";"AU.03";"AU";"Oceania";"High";311;0.0315789431333542;-0.252631545066833;0.24210524559021;0.0842105224728584;0.24210524559021;0.0842105224728584;0.0210526306182146;0.0631578862667084;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"37";"AU.04";"AU";"Oceania";"High";7890;-0.315789461135864;-0.273684173822403;0.368421018123627;0.568421006202698;0.368421018123627;0.568421006202698;-0.136842086911201;-0.58947366476059;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"38";"AU.05";"AU";"Oceania";"High";4372.5;-0.389473646879196;-0.347368389368057;0.452631533145905;0.189473673701286;0.452631533145905;0.189473673701286;-0.0842105224728584;-0.557894706726074;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"39";"AU.06";"AU";"Oceania";"High";1134.8;-0.305263131856918;-0.547368347644806;0.494736790657043;0.24210524559021;0.494736790657043;0.24210524559021;-0.0105263153091073;-0.442105233669281;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"40";"AU.07";"AU";"Oceania";"High";14568.5;-0.557894706726074;-0.599999964237213;0.715789437294006;0.231578931212425;0.715789437294006;0.231578931212425;-0.0631578862667084;-0.694736778736115;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"41";"AU.08";"AU";"Oceania";"High";5069;0;-0.189473673701286;0.515789449214935;0.399999976158142;0.515789449214935;0.399999976158142;-0.24210524559021;-0.547368347644806;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"42";"BD.81";"BD";"Asia";"Lower-middle";1162.8;-0.0210526306182146;-0.0631578862667084;0.0842105224728584;0.452631533145905;0.0842105224728584;0.452631533145905;-0.231578931212425;-0.263157874345779;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"43";"BD.82";"BD";"Asia";"Lower-middle";178.6;-0.249344766139984;-0.0973328500986099;0.346072375774384;0.0901885330677032;0.346072375774384;0.0901885330677032;-0.294736832380295;-0.221052616834641;0.0266347675802394;0.0272904481217912;0.0272904481217912;0.0272904481217912;0.0263157852468733;0.0263157852468733;0.0266347675802394;0.0266347675802394
