"region_iso";"country";"continent";"income";"number_of_scholars";"internal_continent_in";"internal_continent_in_transformed";"internal_continent_out";"internal_continent_out_transformed";"internal_income_in";"internal_income_in_transformed";"internal_income_out";"internal_income_out_transformed";"international_continent_in";"international_continent_in_transformed";"international_continent_out";"international_continent_out_transformed";"international_income_in";"international_income_in_transformed";"international_income_out";"international_income_out_transformed";"SE_internal_continent_in";"SE_internal_continent_out";"SE_internal_income_in";"SE_internal_income_out";"SE_international_continent_in";"SE_international_continent_out";"SE_international_income_in";"SE_international_income_out"
"11";"AR.06";"AR";"South America";"Upper-middle";146.8;0.0314460736692923;3.19457250487032;0.0332579291225287;3.38171564076688;0.0314460736692923;3.19457250487032;0.0332579291225287;3.38171564076688;-0.00010781229865686;-0.0107806487119833;-0.0633978021282304;-6.14299657405638;-0.00010781229865686;-0.0107806487119833;-0.0633978021282304;-6.14299657405638;0.000852268174842564;0.000620996686566396;0.000852268174842564;0.000620996686566396;0.000755346227230141;0.000862704324890792;0.000755346227230141;0.000862704324890792
"12";"AR.07";"AR";"South America";"Upper-middle";4729.4;0.0307943830457217;3.12734347820802;0.0440443844503179;4.50287368851694;0.0307943830457217;3.12734347820802;0.0440443844503179;4.50287368851694;-0.031978260954278;-3.14723632830796;-0.0364401822777736;-3.57842306376427;-0.031978260954278;-3.14723632830796;-0.0364401822777736;-3.57842306376427;1.82097627215026e-05;2.09990989261307e-05;1.82097627215026e-05;2.09990989261307e-05;2.18673038657513e-05;6.31341721626679e-05;2.18673038657513e-05;6.31341721626679e-05
"13";"AR.08";"AR";"South America";"Upper-middle";47.4;0.0551521201479954;5.67013480152416;0.0706716940560971;7.32288206221761;0.0551521201479954;5.67013480152416;0.0706716940560971;7.32288206221761;0.0243195143237198;2.46176456089977;0.0576312707581731;5.93243198346027;0.0243195143237198;2.46176456089977;0.0576312707581731;5.93243198346027;0.00102224281920472;0.00207980999191888;0.00102224281920472;0.00207980999191888;0.0014536046041884;0.00333824307715765;0.0014536046041884;0.00333824307715765
"14";"AR.10";"AR";"South America";"Upper-middle";29.6;0.0788188159857245;8.20082617090137;NA;NA;0.0788188159857245;8.20082617090137;NA;NA;0.128564891292153;13.719521296377;NA;NA;0.128564891292153;13.719521296377;NA;NA;0.00125543656709392;NA;0.00125543656709392;NA;0.00365370901079804;NA;0.00365370901079804;NA
"15";"AR.13";"AR";"South America";"Upper-middle";1990.2;-0.00866620508442457;-0.86287617710219;-0.0184256062295769;-1.82568925534871;-0.00866620508442457;-0.86287617710219;-0.0184256062295769;-1.82568925534871;-0.0268173409013747;-2.646094894988;-0.0344374190488646;-3.38511996945082;-0.0268173409013747;-2.646094894988;-0.0344374190488646;-3.38511996945082;3.63443858697723e-05;2.43049487300615e-05;3.63443858697723e-05;2.43049487300615e-05;8.30885904917125e-05;0.000150700314135979;8.30885904917125e-05;0.000150700314135979
"16";"AR.14";"AR";"South America";"Upper-middle";50.5;0.0672666351823816;6.95806279832394;0.156236934026154;16.910317059826;0.0672666351823816;6.95806279832394;0.156236934026154;16.910317059826;0.0837868816873022;8.73971248721159;0.0384678951183311;3.921736387191;0.0837868816873022;8.73971248721159;0.0384678951183311;3.921736387191;0.0011556008192145;0.00307801495661467;0.0011556008192145;0.00307801495661467;0.000520626864158794;0.000776634421830722;0.000520626864158794;0.000776634421830722
"17";"AR.15";"AR";"South America";"Upper-middle";110.6;0.0750557927362418;7.79442906684271;0.0839757933051048;8.76025662266877;0.0750557927362418;7.79442906684271;0.0839757933051048;8.76025662266877;-0.00745488407149118;-0.742716534596299;-0.00845389190650831;-0.84182582473934;-0.00745488407149118;-0.742716534596299;-0.00845389190650831;-0.84182582473934;0.000440043995790405;0.00049872269918373;0.000440043995790405;0.00049872269918373;0.00146876394269666;0.00132370193467381;0.00146876394269666;0.00132370193467381
"18";"AR.16";"AR";"South America";"Upper-middle";94;-0.0261873350696799;-2.58474204273552;-0.0390721104711037;-3.83186406499009;-0.0261873350696799;-2.58474204273552;-0.0390721104711037;-3.83186406499009;0.0410594271226188;4.19140216580365;-0.00556626448942633;-0.555080154282994;0.0410594271226188;4.19140216580365;-0.00556626448942633;-0.555080154282994;0.000139942828285982;0.000263240007827767;0.000139942828285982;0.000263240007827767;0.000628587073976789;0.00101912251049421;0.000628587073976789;0.00101912251049421
"19";"AR.17";"AR";"South America";"Upper-middle";105.6;0.0502098343458094;5.14917123043905;0.0201488235866738;2.03531813478128;0.0502098343458094;5.14917123043905;0.0201488235866738;2.03531813478128;-0.0453345021443906;-4.43222478964839;-0.0651663005235174;-6.30883584753404;-0.0453345021443906;-4.43222478964839;-0.0651663005235174;-6.30883584753404;0.000544611573253096;0.000801204017915258;0.000544611573253096;0.000801204017915258;0.00157266913791431;0.00202250392181077;0.00157266913791431;0.00202250392181077
"20";"AR.18";"AR";"South America";"Upper-middle";110.2;0.00435371197826796;0.436320315120842;0.02522623094293;2.55471047709634;0.00435371197826796;0.436320315120842;0.02522623094293;2.55471047709634;-0.042205823894551;-4.13275574309853;-0.044014772279917;-4.30601788142679;-0.042205823894551;-4.13275574309853;-0.044014772279917;-4.30601788142679;0.000319545398560122;0.000506001389127528;0.000319545398560122;0.000506001389127528;0.000483370751166256;0.000877508315184265;0.000483370751166256;0.000877508315184265
