row_number,nmr_typology,continent_name,country_name,geonames_admin1_ascii_name,n_years_in_typology,n_years,y_pop_INT
1039,Net receiver,Asia,Türkiye,Canakkale,10,25,40
1040,Both balanced,Africa,Libya,Sabha,10,18,27
1041,Both balanced,Africa,Chad,Ouadai,10,13,4
1042,Both balanced,North America,Costa Rica,Guanacaste,11,11,1
1043,Mixed,Africa,Morocco,Fes-Meknes,11,24,407
1044,Both balanced,Europe,Iceland,West,11,12,3
1045,Net sender,Europe,Greece,Epirus,11,25,895
1046,INT rec. IN sen.,Africa,Morocco,Marrakesh-Safi,11,25,555
1047,Both balanced,Asia,Philippines,Bicol,11,13,14
1048,Net receiver,Europe,Luxembourg,Luxembourg,11,25,92
1049,Net sender,Africa,Egypt,Giza,11,25,2771
1050,Net receiver,South America,Colombia,Bogota D.C.,11,25,889
1051,Mixed,Africa,Senegal,Thies,11,24,9
1052,Mixed,Europe,Greece,Central Greece,11,23,1
1053,INT rec. IN sen.,North America,Canada,Manitoba,11,25,1481
1054,Mixed,Asia,Türkiye,Burdur,11,15,130
1055,Mixed,Asia,Armenia,Yerevan,11,25,268
1056,Mixed,Europe,Slovakia,Trnavsky kraj,11,25,143
1057,Both balanced,Africa,Madagascar,Alaotra Mangoro,11,11,1
1058,Mixed,Europe,Slovakia,Trenciansky kraj,11,25,3
1059,Mixed,Europe,Slovakia,Presovsky kraj,11,25,23
1060,Mixed,Asia,Türkiye,Batman,11,13,28
1061,IN rec. INT sen.,Europe,Greece,Attica,11,25,4653
1062,Mixed,South America,Peru,La Libertad,11,24,16
1063,Net receiver,Asia,Türkiye,Bolu,11,25,263
1064,Both balanced,South America,Peru,Huancavelica,11,13,7
1065,Net sender,Europe,Slovakia,Bratislavsky kraj,11,25,2166
1066,Both balanced,South America,Ecuador,Los Rios,11,17,1
1067,Mixed,South America,Peru,Callao,11,24,58
1068,INT rec. IN sen.,North America,United States,Wyoming,11,25,479
1069,Mixed,South America,Argentina,Chubut,11,25,29
1070,Mixed,Asia,Myanmar,Mandalay,11,21,8
1071,Both balanced,North America,Cuba,Granma,11,20,1
1072,Both balanced,Asia,Sri Lanka,Eastern Province,11,16,13
1073,Mixed,Asia,Myanmar,Nay Pyi Taw,11,16,19
1074,Both balanced,South America,Argentina,Formosa,11,17,4
1075,Both balanced,South America,Colombia,Quindio,11,16,1
1076,IN rec. INT sen.,Asia,"Iran, Islamic Republic of",Mazandaran,11,25,2485
1077,Mixed,Africa,Egypt,Aswan,11,25,3
1078,Both balanced,Asia,Hong Kong,Tuen Mun,11,17,1
